,Name,Transmission,KM_Driven,Fuel_Type,Owner,Registration,EMI,Price,Year,Types,City,Discount
1036,2018 Hyundai Creta 1.6 SX CRDI,MANUAL,82473,Diesel,2nd Owner,RJ-45,23318,1307899,2018,Hyundai,Jaipur,1241699
1037,2014 Hyundai Santro Xing GLS,MANUAL,82163,Petrol + CNG,1st Owner,HR-16,5320,272099,2014,Hyundai,New Delhi,272099
1038,2019 Maruti Swift VXI,MANUAL,71266,Petrol,1st Owner,TN-11-x-xxxx,11771,665799,2019,Maruti,Chennai,602099
1039,2022 Hyundai NEW SANTRO SPORTZ 1.1,MANUAL,5701,Petrol,1st Owner,KL-41,11675,613999,2022,Hyundai,Kochi,597199
1040,2020 Tata Tiago XZ+ 1.2 Revotron,MANUAL,20494,Petrol,1st Owner,WB-18,10360,529899,2020,Tata,Kolkata,529899
1041,2020 Toyota Innova Crysta 2.4 GX 7 STR,MANUAL,28795,Diesel,2nd Owner,UP-32-x-xxxx,35905,1945599,2020,Toyota,Lucknow,1911999
1042,2021 Maruti Celerio ZXI,MANUAL,15947,Petrol,1st Owner,WB-14,9488,522699,2021,Maruti,Howrah,485299
1043,2017 Mahindra Kuv100 K4 6 STR,MANUAL,45609,Petrol,2nd Owner,TS-08-x-xxxx,8256,422299,2017,Mahindra,Hyderabad,422299
1044,2016 Hyundai Verna FLUIDIC 1.6 SX VTVT,MANUAL,62031,Petrol,1st Owner,WB-08,10174,566099,2016,Hyundai,Kolkata,520399
1045,2012 Maruti Alto K10 VXI,MANUAL,34402,Petrol,3rd Owner,MH-12,4250,222399,2012,Maruti,Pune,217399
1046,2021 Renault TRIBER 1.0 RXE Petrol,Manual,13263,Petrol,1st Owner,TN-60-x-xxxx,12639,646499,2021,Renault,Chennai,646499
1047,2022 Renault Kiger RXZ 1.0 MT,Manual,3271,Petrol,1st Owner,DL-10,15609,848699,2022,Renault,New Delhi,831199
1048,2019 Maruti XL6 ALPHA SHVS  MT,MANUAL,75770,Petrol,1st Owner,TN-06-x-xxxx,20328,1082499,2019,Maruti,Chennai,1082499
1049,2016 Volkswagen Ameo COMFORTLINE 1.2,MANUAL,53177,Petrol,2nd Owner,KL-69,7883,416199,2016,Volkswagen,Kochi,403199
